tag_name,creation_year_month,tag_count,all_tags_count
pandas,2011-03,1,344397
pandas,2011-04,2,331520
pandas,2011-05,1,351311
pandas,2011-06,1,352631
pandas,2011-07,0,362935
pandas,2011-08,1,380379
pandas,2011-09,1,368432
pandas,2011-10,5,367320
pandas,2011-11,2,393762
pandas,2011-12,1,375611
pandas,2012-01,7,422866
pandas,2012-02,4,453424
pandas,2012-03,30,490178
pandas,2012-04,28,475962
pandas,2012-05,44,499957
pandas,2012-06,54,486178
pandas,2012-07,69,530704
pandas,2012-08,93,528571
pandas,2012-09,100,498393
pandas,2012-10,111,563485
pandas,2012-11,132,555969
pandas,2012-12,138,517375
pandas,2013-01,168,608909
pandas,2013-02,201,599549
pandas,2013-03,185,689569
pandas,2013-04,205,686457
pandas,2013-05,243,662664
pandas,2013-06,258,635831
pandas,2013-07,304,706001
pandas,2013-08,303,680998
pandas,2013-09,273,674634
pandas,2013-10,379,750154
pandas,2013-11,392,726283
pandas,2013-12,358,682602
pandas,2014-01,492,776155
pandas,2014-02,463,773542
pandas,2014-03,576,857717
pandas,2014-04,556,812454
pandas,2014-05,531,764778
pandas,2014-06,526,709215
pandas,2014-07,548,761793
pandas,2014-08,536,703899
pandas,2014-09,574,716738
pandas,2014-10,573,748060
pandas,2014-11,602,725109
pandas,2014-12,482,680128
pandas,2015-01,525,719743
pandas,2015-02,616,722178
pandas,2015-03,750,814995
pandas,2015-04,779,793712
pandas,2015-05,730,778373
pandas,2015-06,869,790714
pandas,2015-07,957,821664
pandas,2015-08,846,764054
pandas,2015-09,904,751889
pandas,2015-10,1088,793540
pandas,2015-11,1035,759167
pandas,2015-12,979,730796
pandas,2016-01,1016,766272
pandas,2016-02,1212,803833
pandas,2016-03,1289,867432
pandas,2016-04,1341,845457
pandas,2016-05,1403,818649
pandas,2016-06,1415,801055
pandas,2016-07,1685,772402
pandas,2016-08,1572,790681
pandas,2016-09,1465,751148
pandas,2016-10,1530,769202
pandas,2016-11,1700,773513
pandas,2016-12,1614,714836
pandas,2017-01,1728,770354
